"","PM2.5","PM10","O3","NO2","SO2","CO","AQI","City","Date"
"hefei",127,94,7,9,13,12,127,"hefei",2015-05-04
"fuzhou",70,37,76,12,2,6,76,"fuzhou",2015-05-04
"lanzhou",114,56,107,29,44,13,114,"lanzhou",2015-05-04
"guangzhou",9,34,4,24,4,7,34,"guangzhou",2015-05-04
"guiyang",85,37,31,8,7,5,85,"guiyang",2015-05-04
"haikou",57,28,18,2,2,5,57,"haikou",2015-05-04
"shijiazhuang",137,74,54,38,51,7,137,"shijiazhuang",2015-05-04
"haerbin",124,492,22,8,3,6,492,"haerbin",2015-05-04
"zhengzhou",217,176,118,37,21,17,217,"zhengzhou",2015-05-04
"wuhan",169,73,24,24,6,15,169,"wuhan",2015-05-04
"changsha",181,63,27,14,15,11,181,"changsha",2015-05-04
"nanjing",87,69,56,14,19,0,87,"nanjing",2015-05-04
"nanchang",129,61,65,9,6,13,129,"nanchang",2015-05-04
"changchun",201,360,35,14,2,6,360,"changchun",2015-05-04
"shenyang",151,103,29,33,9,8,151,"shenyang",2015-05-04
"xining",99,60,47,14,5,10,99,"xining",2015-05-04
"xian",127,84,91,18,14,21,127,"xian",2015-05-04
"jinan",159,118,61,10,18,7,159,"jinan",2015-05-04
"taiyuan",193,108,18,20,38,27,193,"taiyuan",2015-05-04
"chengdu",127,54,202,21,5,6,202,"chengdu",2015-05-04
"kunming",107,69,49,12,14,11,107,"kunming",2015-05-04
"hangzhou",107,71,190,29,27,3,190,"hangzhou",2015-05-04
"nanning",55,17,47,4,4,9,55,"nanning",2015-05-04
"huhehaote",38,69,50,3,2,3,69,"huhehaote",2015-05-04
"yinchuan",93,67,35,20,15,15,93,"yinchuan",2015-05-04
"lhasa",42,26,83,2,4,5,83,"lhasa",2015-05-04
"wulumuqi",76,59,39,11,4,8,76,"wulumuqi",2015-05-04
"beijing",167,81,21,22,7,6,167,"beijing",2015-05-04
"chongqing",95,57,29,22,7,9,95,"chongqing",2015-05-04
"hongkong",52,22,8,42,4,2,52,"hongkong",2015-05-04
"zhuhai",55,46,24,9,4,6,55,"zhuhai",2015-05-04
"shanghai",82,33,29,22,7,4,82,"shanghai",2015-05-04
"tianjin",171,95,38,11,12,5,171,"tianjin",2015-05-04
"xiamen",107,52,42,19,1,7,107,"xiamen",2015-05-04
"shenzhen",82,77,38,18,14,12,82,"shenzhen",2015-05-04
"dalian",132,99,39,16,12,5,132,"dalian",2015-05-04
"qingdao",147,96,29,17,13,11,147,"qingdao",2015-05-04
"ningbo",119,69,38,34,20,9,119,"ningbo",2015-05-04
